,City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Cloudiness
0,Sawankhalok,TH,2019-11-13,90,17.31,99.83,24.03,1.66,22
1,Bambous Virieux,MU,2019-11-13,83,-20.34,57.76,25.56,3.6,75
2,Hobart,AU,2019-11-13,70,-42.88,147.33,10.56,0.89,31
3,Busselton,AU,2019-11-13,34,-33.64,115.35,19.44,4.15,0
4,Victoria,BN,2019-11-13,74,5.28,115.24,28.0,2.1,75
5,Butaritari,KI,2019-11-13,73,3.07,172.79,28.86,5.02,100
6,Praia,BR,2019-11-13,54,-20.25,-43.81,29.0,6.7,75
7,Yumen,CN,2019-11-13,22,40.29,97.04,0.5,7.01,0
8,Ribeira Grande,PT,2019-11-13,60,38.52,-28.7,20.0,7.2,20
9,Whitehorse,CA,2019-11-13,85,60.72,-135.06,-9.0,2.1,90
10,East London,ZA,2019-11-13,82,-33.02,27.91,20.0,5.1,75
11,Semirom,IR,2019-11-13,12,31.41,51.57,2.86,1.56,0
12,Mataura,NZ,2019-11-13,95,-46.19,168.86,6.67,0.89,83
13,Pisco,PE,2019-11-13,30,-13.71,-76.2,22.0,3.1,90
14,Yatou,CM,2019-11-13,59,3.63,9.81,32.0,2.1,40
15,Mar del Plata,AR,2019-11-13,30,-46.43,-67.52,21.91,9.91,67
16,Guerrero Negro,MX,2019-11-13,75,27.97,-114.04,19.53,1.34,0
17,Thompson,CA,2019-11-13,78,55.74,-97.86,-12.0,2.6,90
18,Anadyr,RU,2019-11-13,91,64.73,177.51,0.0,7.0,90
19,Hithadhoo,MV,2019-11-13,79,-0.6,73.08,28.09,6.97,53
20,Tiksi,RU,2019-11-13,97,71.64,128.87,-20.13,1.57,100
21,Lebu,ET,2019-11-13,63,8.96,38.73,16.28,4.13,50
22,Bethel,US,2019-11-13,79,60.79,-161.76,-6.0,9.8,1
23,Albany,US,2019-11-13,48,42.65,-73.75,-6.11,6.2,20
24,Kodiak,US,2019-11-13,62,39.95,-94.76,-2.22,7.7,1
25,Biak,ID,2019-11-13,75,-0.91,122.88,28.3,3.36,8
26,Qaanaaq,GL,2019-11-13,68,77.48,-69.36,-6.19,5.2,100
27,Punta Arenas,CL,2019-11-13,76,-53.16,-70.91,12.0,4.1,75
28,Itoman,JP,2019-11-13,69,26.12,127.67,23.0,3.6,75
29,Manzil Salim,TN,2019-11-13,40,35.86,8.48,12.0,4.6,20
30,Fairbanks,US,2019-11-13,60,64.84,-147.72,-12.0,2.6,1
31,Vaini,IN,2019-11-13,77,15.34,74.49,21.02,2.83,8
32,Posse,BR,2019-11-13,22,-14.08,-46.36,35.7,3.31,0
33,Cururupu,BR,2019-11-13,49,-1.82,-44.87,32.58,3.19,88
34,Fortuna,US,2019-11-13,93,40.6,-124.16,8.0,3.1,1
